premix.out
N2 AR H O2 OH O H2 H2O HO2 H2O2 CO CO2 HCO CH2O CH4 CH3 T-CH2 S-CH2 C2H4 CH3O C2H5 C2H6 CH C2H2 C2H3 CH2CHO C2H4O CH2CO HCCO C2H CH2OH CH3OH C3H4 C3H3 C3H5 C3H6 C3H8 I-C3H7 N-C3H7 
C3H8 N-C3H7 0.760281 -0
C3H8 I-C3H7 0.648181 -0
OH H2O 0.600862 -0
C3H6 I-C3H7 -0.555611 -0
CH3 CH2O 0.420444 -0
CH2O HCO 0.301024 -0
H2 H2O 0.282129 -0
H OH 0.271136 -0
C2H4 C2H3 0.268444 -0
HCO H 0.236539 -0
CH2O H2O 0.210639 -0
HO2 H2O 0.184604 -0
H HO2 0.182926 -0
C2H3 CH2CHO 0.174486 -0
CH2CHO CH2CO 0.174083 -0
C3H6 CH3 0.168562 -0
C3H6 C2H4 0.161975 -0
CH3 C2H4 -0.157589 -0
CH3 C2H6 0.145418 -0
C3H8 H2 0.142459 -0
C2H6 C2H5 0.140078 -0
OH HO2 -0.131525 -0
CH2OH CH2O 0.123415 -0
CH2CO CH3 0.114327 -0
HCO HO2 0.0932498 -0
CH2CO CH2OH 0.0908586 -0
CH2CHO H 0.0870415 -0
C2H4 CH2CHO 0.0870379 -0
H H2O 0.086573 -0
H2 OH 0.0828411 -0
CH3 H 0.0803426 -0
C3H6 C2H5 0.0765212 -0
H I-C3H7 -0.0761955 -0
C2H4 H2O 0.0672767 -0
C3H6 CH2CO 0.0662232 -0
C3H6 C3H5 0.0632206 -0
CH3 C2H5 -0.0583493 -0
CH3 S-CH2 0.0579728 -0
C2H5 C2H4 0.056637 -0
C2H4 HCO 0.0539495 -0
CH2OH HO2 0.0522542 -0
CH2O H2 0.0489448 -0
HO2 H2 0.04864 -0
S-CH2 T-CH2 0.0469212 -0
C3H8 OH 0.0460832 -0
C3H6 H2O 0.0454318 -0
OH CH2OH 0.0454293 -0
C3H4 C3H5 -0.0418841 -0
CH2O OH 0.0412517 -0
CH3 CH3O 0.0412024 -0
T-CH2 H 0.0363792 -0
CH2OH CH3 -0.0333453 -0
CH2CO T-CH2 0.032547 -0
H CH4 0.0306145 -0
C3H6 N-C3H7 -0.0305652 -0
C2H4 H 0.0282616 -0
C2H3 CH2O 0.0282401 -0
HCO H2 0.0278151 -0
C2H3 C2H2 0.0265704 -0
T-CH2 H2 0.025775 -0
T-CH2 OH 0.0251849 -0
CH3 H2O 0.0242819 -0
C2H4 H2 0.0236683 -0
C3H6 H2 0.023408 -0
HCO H2O 0.0224567 -0
C3H6 H -0.0222153 -0
CH3 C3H4 -0.0197256 -0
C2H2 C3H4 -0.0188864 -0
CH4 H2O 0.0185051 -0
CH3O CH2O 0.0167217 -0
I-C3H7 HO2 0.0164062 -0
C2H6 H2O 0.0163907 -0
C2H2 CH2CO 0.0155742 -0
C3H6 HCO 0.0153042 -0
CH3O CH2OH 0.0146681 -0
C2H3 HCO 0.01412 -0
C3H8 H2O 0.0127498 -0
C2H3 C3H6 0.0117605 -0
T-CH2 C2H2 -0.0113134 -0
C2H2 H 0.0110542 -0
CH3 OH 0.0109283 -0
HCCO OH 0.00962561 -0
C2H5 HO2 0.0090467 -0
S-CH2 OH 0.00898903 -0
CH2CO HCCO 0.00895907 -0
H2 H 0.00884536 -0
CH3 H2 0.00828626 -0
CH4 OH 0.00795192 -0
C2H3 HO2 0.00768121 -0
CH3 T-CH2 0.00714754 -0
HCCO H 0.00688719 -0
C3H5 H2 0.00661861 -0
HCO OH 0.00644672 -0
C2H6 H2 0.00630139 -0
T-CH2 CH2O 0.00602497 -0
C2H3 H2 0.00560396 -0
CH4 H2 0.00544991 -0
C2H6 OH 0.00518807 -0
CH3O HO2 0.00516565 -0
S-CH2 H 0.00499754 -0
H2O2 H2O 0.00459203 -0
OH H2O2 0.00418164 -0
CH2OH H2O 0.00393639 -0
C2H5 CH2O 0.00385136 -0
HCCO S-CH2 0.00378478 -0
C2H3 C3H5 -0.00337162 -0
C3H5 H2O 0.00317437 -0
CH2OH H2 0.00304913 -0
C2H5 H2 0.00299804 -0
CH3O H 0.00278499 -0
H N-C3H7 -0.00256281 -0
N-C3H7 HO2 0.00253139 -0
CH2OH H 0.00246794 -0
C3H4 C2H4 0.00234328 -0
CH3 C3H5 -0.00226705 -0
T-CH2 CH 0.00197639 -0
CH HCO 0.001866 -0
T-CH2 C2H4 0.00141438 -0
C2H5 OH 0.00138976 -0
C3H4 H2O 0.00126427 -0
T-CH2 H2O 0.00117887 -0
HO2 H2O2 0.00117296 -0
S-CH2 CH2O 0.00106583 -0
H C3H4 0.000994236 -0
CH4 HO2 -0.00097823 -0
HO2 C3H6 0.000868744 -0
H2O2 H2 0.000855053 -0
CH3OH CH3O -0.000818266 -0
CH3OH CH2OH 0.000816042 -0
CH2CO C2H5 0.00070834 -0
CH3O H2O 0.000510526 -0
H C3H5 -0.000468473 -0
C3H3 C3H4 -0.000465915 -0
C2H2 C2H 0.000393123 -0
CH3OH H2 -0.000305391 -0
CH3OH H2O 0.000301441 -0
C3H4 HCCO 0.000276536 -0
C3H3 CH2CO 0.000267648 -0
CH3O H2 0.000264524 -0
C3H8 HO2 -0.000217295 -0
C2H HCO 0.000208363 -0
CH3O S-CH2 0.000206708 -0
C3H5 CH4 0.000205736 -0
CH H 0.000205557 -0
CH2O H -0.000181643 -0
CH4 CH3 -0.000169691 -0
C3H8 H2O2 0.000140488 -0
C2H6 CH4 0.00013541 -0
C3H3 HCO 0.000133824 -0
C2H4 HO2 -0.000113788 -0
C2H CH 9.49891e-05 -0
C2H HCCO 8.98848e-05 -0
C2H4 C2H4O 8.8913e-05 -0
HCCO HCO 8.62723e-05 -0
C3H3 C2H3 6.26064e-05 -0
HO2 C3H4 5.9269e-05 -0
HCO C3H4 5.22638e-05 -0
CH3O OH 4.85588e-05 -0
I-C3H7 N-C3H7 4.66795e-05 -0
CH4 H2O2 -2.95764e-05 -0
C2H4 C2H2 1.88974e-05 -0
CH3OH OH 1.57684e-05 -0
C2H2 C3H5 -1.28711e-05 -0
CH3OH HO2 -1.26103e-05 -0
C2H2 CH2O 5.43679e-06 -0
C3H5 HO2 3.83184e-06 -0
N-C3H7 C2H4 1.63822e-06 -0
N-C3H7 CH3 1.22867e-06 -0
C3H8 C2H5 -5.89894e-07 -0
C2H4O CH3 4.22576e-07 -0
C3H8 CH3 -3.53936e-07 -0
C2H4O H2O2 1.40859e-07 -0
CH3OH H2O2 4.98229e-08 -0
C2H5 H 3.02942e-08 -0
C2H6 H -9.72185e-09 -0
C2H3 H 2.25495e-09 -0
